XTAL ID, Exp Height
5001, 0.899
5002, 0.765
5003, 0.907
5004, 0.776
5005, 0.616
5006, 0.708
5007, 0.818
5019, 0.897
5020, 0.386
5021, 0.856
5022, 0.685
5023, 0.772
5024, 0.633
5025, 0.625
5026, 0.544
5027, 0.577
5028, 0.399
5029, 0.645
5030, 0.638
5031, 0.428
5032, 0.388
5033, 0.678
5034, 0.575
5035, 0.389
5036, 0.732
5037, 0.457
5038, 0.483
5039, 0.035
5040, 0.575
5041, 0.723
5042, 0.665
5043, 0.809
5044, 0.594
5045, 0.740
5046, 0.906
5047, 0.920
5048, 0.700
5049, 0.524
5050, 0.464
5051, 0.544
5052, 0.639
5053, 0.676
5054, 0.737
5055, 0.425
5056, 0.427
5057, 0.549
5058, 0.645
5059, 0.551
5060, 0.617
5061, 0.637
5062, 0.788
5063, 0.782
5064, 0.544
5065, 0.539
5066, 0.969
5067, 0.866
5068, 0.897
5069, 0.701
5070, 0.854
5071, 0.400
5072, 0.517
5073, 0.686
5074, 0.833
5075, 0.874
5076, 0.466
5077, 0.388
5079, 0.558
5101, 0.958
5102, 0.458
5103, 0.454
5104, 0.435
5106, 0.409
5107, 0.349
5109, 0.542
5111, 0.651
5112, 0.536
5113, 0.613
5114, 0.504
5115, 0.501
5117, 0.538
5118, 0.693
5119, 0.305
5121, 0.387
5122, 0.305
5125, 0.525
5126, 0.497
5127, 0.842
5129, 0.370
5130, 0.775
5131, 0.670
5132, 0.409
5133, 0.953
5134, 0.557
5135, 0.480
5136, 0.548
5137, 0.976
5140, 0.890
5142, 0.589
5143, 0.809
5144, 0.444
